# wBeginAdd: 78
# wWaterAdd: 106
#                            max     min     neg     zer     pos
# caluDetBegin - realBegin:  249      67       0       0    4001
# realEnd   - caluDetEnd  :  184       9       0       0    4001
# bytecnt, realBegin, caluDetBegin, realEnd, caluDetEnd
    167481,     72019,     72091,    167236,    167053
    167517,     72053,     72127,    167273,    167089
    167499,     72028,     72109,    167255,    167071
    167473,     72010,     72093,    167229,    167055
    167538,     72075,     72148,    167294,    167110
    167497,     72031,     72107,    167253,    167069
    167492,     72018,     72102,    167248,    167064
    167507,     72040,     72117,    167262,    167079
    167518,     72042,     72128,    167274,    167090
    167519,     72049,     72129,    167275,    167091
    167506,     72040,     72116,    167261,    167078
    167494,     72029,     72104,    167249,    167066
    167516,     72048,     72126,    167271,    167088
    167491,     72021,     72101,    167247,    167063
    167484,     72017,     72094,    167239,    167056
    167477,     72009,     72089,    167233,    167051
    167507,     72048,     72117,    167262,    167079
    167510,     72048,     72120,    167265,    167082
    167482,     72016,     72092,    167238,    167054
    167517,     72047,     72127,    167273,    167089
    167453,     71992,     72113,    167209,    167075
    167532,     72065,     72142,    167287,    167104
    167506,     72041,     72116,    167261,    167078
    167503,     72032,     72113,    167258,    167075
    167508,     72040,     72118,    167264,    167080
    167489,     72019,     72099,    167244,    167061
    167544,     72077,     72154,    167300,    167116
    167526,     72054,     72136,    167281,    167098
    167517,     72047,     72127,    167272,    167089
    167476,     72016,     72090,    167231,    167052
    167478,     72015,     72088,    167233,    167050
    167487,     72021,     72097,    167242,    167059
    167535,     72070,     72145,    167290,    167107
    167465,     72000,     72101,    167220,    167063
    167499,     72037,     72109,    167255,    167071
    167486,     72018,     72096,    167242,    167058
    167500,     72032,     72110,    167256,    167072
    167483,     72023,     72093,    167239,    167055
    167466,     72003,     72100,    167222,    167062
    167513,     72047,     72123,    167268,    167085
    167492,     72032,     72102,    167247,    167064
    167516,     72053,     72126,    167271,    167088
    167541,     72074,     72151,    167296,    167113
    167501,     72031,     72111,    167257,    167073
    167520,     72056,     72130,    167276,    167092
    167516,     72051,     72126,    167272,    167088
    167495,     72032,     72105,    167251,    167067
    167510,     72048,     72120,    167265,    167082
    167516,     72044,     72126,    167272,    167088
    167526,     72052,     72136,    167281,    167098
    167503,     72036,     72113,    167258,    167075
    167448,     71987,     72118,    167204,    167080
    167455,     71989,     72111,    167211,    167073
    167510,     72050,     72120,    167266,    167082
    167503,     72042,     72113,    167259,    167075
    167488,     72016,     72098,    167244,    167060
    167468,     72004,     72098,    167224,    167060
    167510,     72038,     72120,    167265,    167082
    167507,     72037,     72117,    167263,    167079
    167492,     72021,     72102,    167247,    167064
    167527,     72061,     72137,    167283,    167099
    167466,     71992,     72100,    167222,    167062
    167464,     71992,     72102,    167220,    167064
    167533,     72067,     72143,    167289,    167105
    167493,     72031,     72103,    167248,    167065
    167500,     72021,     72110,    167256,    167072
    167464,     71995,     72102,    167219,    167064
    167493,     72024,     72103,    167249,    167065
    167506,     72035,     72116,    167262,    167078
    167514,     72046,     72124,    167270,    167086
    167489,     72025,     72099,    167245,    167061
    167485,     72022,     72095,    167241,    167057
    167510,     72040,     72120,    167266,    167082
    167505,     72038,     72115,    167261,    167077
    167519,     72052,     72129,    167275,    167091
    167519,     72038,     72129,    167275,    167091
    167487,     72017,     72097,    167242,    167059
    167509,     72037,     72119,    167264,    167081
    167489,     72021,     72099,    167245,    167061
    167482,     72019,     72092,    167238,    167054
    167489,     72019,     72099,    167245,    167061
    167473,     72010,     72093,    167229,    167055
    167496,     72027,     72106,    167252,    167068
    167488,     72017,     72098,    167243,    167060
    167447,     71988,     72119,    167203,    167081
    167481,     72013,     72091,    167236,    167053
    167493,     72024,     72103,    167249,    167065
    167509,     72036,     72119,    167265,    167081
    167495,     72032,     72105,    167250,    167067
    167489,     72023,     72099,    167244,    167061
    167542,     72073,     72152,    167298,    167114
    167502,     72030,     72112,    167258,    167074
    167496,     72036,     72106,    167252,    167068
    167507,     72039,     72117,    167262,    167079
    167514,     72045,     72124,    167270,    167086
    167507,     72043,     72117,    167262,    167079
    167517,     72054,     72127,    167273,    167089
    167472,     72003,     72094,    167227,    167056
    167507,     72042,     72117,    167262,    167079
    167497,     72025,     72107,    167253,    167069
    167520,     72053,     72130,    167275,    167092
    167505,     72034,     72115,    167260,    167077
    167496,     72021,     72106,    167252,    167068
    167464,     72001,     72102,    167220,    167064
    167482,     72019,     72092,    167237,    167054
    167493,     72030,     72103,    167248,    167065
    167512,     72045,     72122,    167267,    167084
    167471,     72007,     72095,    167226,    167057
    167504,     72032,     72114,    167260,    167076
    167480,     72013,     72090,    167236,    167052
    167504,     72032,     72114,    167260,    167076
    167515,     72048,     72125,    167271,    167087
    167502,     72036,     72112,    167258,    167074
    167498,     72032,     72108,    167254,    167070
    167516,     72049,     72126,    167272,    167088
    167495,     72032,     72105,    167250,    167067
    167528,     72062,     72138,    167284,    167100
    167538,     72072,     72148,    167294,    167110
    167534,     72068,     72144,    167290,    167106
    167492,     72025,     72102,    167248,    167064
    167500,     72028,     72110,    167255,    167072
    167532,     72061,     72142,    167287,    167104
    167512,     72050,     72122,    167267,    167084
    167497,     72037,     72107,    167252,    167069
    167498,     72028,     72108,    167254,    167070
    167526,     72065,     72136,    167282,    167098
    167531,     72066,     72141,    167286,    167103
    167514,     72046,     72124,    167270,    167086
    167518,     72055,     72128,    167274,    167090
    167486,     72023,     72096,    167242,    167058
    167538,     72072,     72148,    167294,    167110
    167543,     72077,     72153,    167299,    167115
    167503,     72032,     72113,    167258,    167075
    167552,     72089,     72162,    167308,    167124
    167520,     72051,     72130,    167276,    167092
    167546,     72077,     72156,    167301,    167118
    167493,     72026,     72103,    167248,    167065
    167523,     72058,     72133,    167278,    167095
    167501,     72032,     72111,    167257,    167073
    167475,     72007,     72091,    167231,    167053
    167465,     72003,     72101,    167220,    167063
    167461,     71994,     72105,    167216,    167067
    167438,     71976,     72128,    167193,    167090
    167499,     72040,     72109,    167254,    167071
    167481,     72018,     72091,    167237,    167053
    167438,     71977,     72128,    167194,    167090
    167472,     72010,     72094,    167228,    167056
    167429,     71960,     72137,    167185,    167099
    167459,     71993,     72107,    167214,    167069
    167428,     71964,     72138,    167183,    167100
    167479,     72006,     72089,    167235,    167051
    167434,     71965,     72132,    167189,    167094
    167478,     72010,     72088,    167234,    167050
    167482,     72014,     72092,    167238,    167054
    167468,     71999,     72098,    167224,    167060
    167461,     71993,     72105,    167217,    167067
    167490,     72027,     72100,    167246,    167062
    167425,     71958,     72141,    167181,    167103
    167505,     72035,     72115,    167260,    167077
    167467,     72000,     72099,    167222,    167061
    167483,     72011,     72093,    167239,    167055
    167473,     72007,     72093,    167228,    167055
    167487,     72024,     72097,    167243,    167059
    167497,     72028,     72107,    167253,    167069
    167469,     72001,     72097,    167224,    167059
    167469,     72003,     72097,    167225,    167059
    167482,     72018,     72092,    167237,    167054
    167495,     72028,     72105,    167251,    167067
    167496,     72030,     72106,    167251,    167068
    167487,     72018,     72097,    167243,    167059
    167513,     72044,     72123,    167269,    167085
    167549,     72081,     72159,    167304,    167121
    167493,     72027,     72103,    167248,    167065
    167483,     72016,     72093,    167239,    167055
    167499,     72027,     72109,    167254,    167071
    167500,     72027,     72110,    167255,    167072
    167492,     72024,     72102,    167247,    167064
    167513,     72043,     72123,    167269,    167085
    167469,     72001,     72097,    167224,    167059
    167487,     72021,     72097,    167243,    167059
    167525,     72056,     72135,    167281,    167097
    167448,     71985,     72118,    167204,    167080
    167467,     72004,     72099,    167223,    167061
    167501,     72032,     72111,    167257,    167073
    167470,     72001,     72096,    167226,    167058
    167516,     72051,     72126,    167272,    167088
    167486,     72023,     72096,    167241,    167058
    167480,     72011,     72090,    167235,    167052
    167497,     72033,     72107,    167252,    167069
    167494,     72034,     72104,    167250,    167066
    167452,     71981,     72114,    167207,    167076
    167505,     72035,     72115,    167261,    167077
    167476,     72010,     72090,    167231,    167052
    167500,     72035,     72110,    167255,    167072
    167507,     72041,     72117,    167262,    167079
    167515,     72048,     72125,    167271,    167087
    167490,     72021,     72100,    167245,    167062
    167494,     72022,     72104,    167250,    167066
    167525,     72057,     72135,    167280,    167097
    167489,     72015,     72099,    167244,    167061
    167526,     72062,     72136,    167282,    167098
    167488,     72013,     72098,    167244,    167060
    167494,     72028,     72104,    167250,    167066
    167524,     72052,     72134,    167280,    167096
    167475,     72006,     72091,    167231,    167053
    167488,     72021,     72098,    167244,    167060
    167489,     72022,     72099,    167245,    167061
    167488,     72023,     72098,    167244,    167060
    167475,     72012,     72091,    167230,    167053
    167543,     72070,     72153,    167298,    167115
    167508,     72040,     72118,    167263,    167080
    167525,     72068,     72135,    167281,    167097
    167510,     72047,     72120,    167265,    167082
    167486,     72020,     72096,    167241,    167058
    167493,     72029,     72103,    167249,    167065
    167479,     72010,     72089,    167235,    167051
    167512,     72040,     72122,    167267,    167084
    167506,     72037,     72116,    167262,    167078
    167506,     72039,     72116,    167261,    167078
    167506,     72043,     72116,    167262,    167078
    167494,     72025,     72104,    167250,    167066
    167488,     72020,     72098,    167243,    167060
    167502,     72037,     72112,    167257,    167074
    167499,     72029,     72109,    167255,    167071
    167512,     72038,     72122,    167268,    167084
    167514,     72038,     72124,    167270,    167086
    167471,     72002,     72095,    167227,    167057
    167468,     71997,     72098,    167223,    167060
