#detBytecnt, detRealBegin, detRealEnd, detCaluBegin, detCaluEnd
        40,        40,        39,        16,        40
        24,        23,        25,        11,        24
       -22,       -29,       -22,       -10,       -22
        16,        24,        16,         7,        16
         8,         8,         8,         3,         8
        20,        25,        20,         9,        20
        -3,       -13,        -4,        -1,        -3
         2,        -1,         2,         0,         2
        25,        27,        26,        11,        25
       -43,       -39,       -43,       -18,       -43
       -11,        -9,       -11,        -5,       -11
        14,        16,        13,         6,        14
         5,         3,         6,         2,         5
       -27,       -36,       -27,       -11,       -27
        59,        61,        59,        25,        59
       -53,       -41,       -54,       -23,       -53
       -15,       -23,       -14,        -6,       -15
       -36,       -27,       -37,       -15,       -36
        67,        62,        67,        28,        67
       -26,       -35,       -26,       -11,       -26
        45,        46,        46,        19,        45
         3,         3,         2,         1,         3
         8,        10,         8,         4,         8
       -13,        -7,       -12,        -6,       -13
       -49,       -49,       -49,       -20,       -49
        32,        29,        31,        13,        32
        34,        38,        35,        15,        34
       -62,       -64,       -62,       -27,       -62
        84,        86,        83,        36,        84
       -75,       -80,       -74,       -32,       -75
       -26,       -20,       -27,       -11,       -26
         9,         6,        10,         4,         9
         6,         9,         6,         2,         6
        17,        14,        17,         8,        17
        37,        34,        37,        15,        37
       -76,       -73,       -77,       -32,       -76
        43,        46,        44,        18,        43
       -30,       -27,       -30,       -12,       -30
        26,        16,        26,        11,        26
         3,        -6,         3,         1,         3
       -19,        -7,       -20,        -8,       -19
       -33,       -28,       -32,       -14,       -33
        52,        49,        51,        22,        52
       -13,       -12,       -12,        -6,       -13
       -25,       -30,       -26,       -10,       -25
        32,        34,        33,        13,        32
        -8,        -8,        -8,        -3,        -8
        20,        18,        19,         8,        20
        -2,        -4,        -2,         0,        -2
       -12,        -7,       -11,        -5,       -12
       -19,       -21,       -19,        -9,       -19
         2,         3,         2,         1,         2
        43,        45,        42,        19,        43
       -26,       -24,       -25,       -11,       -26
       -38,       -45,       -39,       -17,       -38
        25,        30,        25,        11,        25
        -6,        -7,        -5,        -3,        -6
       -18,       -17,       -19,        -7,       -18
         8,        11,         8,         3,         8
        -7,        -5,        -6,        -3,        -7
        38,        27,        38,        16,        38
        -7,         2,        -7,        -3,        -7
        20,        15,        20,         9,        20
         2,         2,         1,         1,         2
        13,        12,        13,         5,        13
       -37,       -35,       -37,       -15,       -37
        20,        18,        20,         8,        20
         1,         2,         2,         0,         1
       -41,       -48,       -41,       -17,       -41
        19,        23,        19,         8,        19
         8,         5,         8,         4,         8
       -41,       -31,       -41,       -18,       -41
        44,        39,        44,        19,        44
       -12,       -12,       -12,        -5,       -12
        43,        39,        43,        18,        43
       -14,       -13,       -15,        -6,       -14
       -58,       -53,       -57,       -25,       -58
        39,        40,        38,        17,        39
