#                            max     min     neg     zer     pos
# caluDetBegin - realBegin:   84     -11    1581     326    2094
# realEnd   - caluDetEnd  :  119    -175     855      50    3096
# bytecnt, realBegin, caluDetBegin, realEnd, caluDetEnd
    167532,     72064,     72064,    167287,    167234
    167495,     72029,     72027,    167250,    167234
    167515,     72047,     72047,    167270,    167234
    167516,     72049,     72048,    167272,    167234
    167475,     72001,     72010,    167231,    167237
    167494,     72024,     72026,    167250,    167234
    167502,     72029,     72034,    167258,    167234
    167461,     71998,     72010,    167217,    167251
    167505,     72037,     72037,    167261,    167234
    167493,     72025,     72025,    167249,    167234
    167536,     72064,     72068,    167292,    167234
    167522,     72051,     72054,    167277,    167234
    167464,     71998,     72010,    167220,    167248
    167503,     72038,     72035,    167258,    167234
    167489,     72027,     72021,    167245,    167234
    167464,     71999,     72010,    167220,    167248
    167510,     72036,     72042,    167266,    167234
    167516,     72047,     72048,    167271,    167234
    167545,     72078,     72077,    167301,    167234
    167501,     72036,     72033,    167256,    167234
    167516,     72048,     72048,    167271,    167234
    167539,     72073,     72071,    167295,    167234
    167516,     72049,     72048,    167272,    167234
    167515,     72047,     72047,    167270,    167234
    167531,     72068,     72063,    167287,    167234
    167536,     72072,     72068,    167291,    167234
    167493,     72030,     72025,    167248,    167234
    167505,     72039,     72037,    167260,    167234
    167495,     72027,     72027,    167251,    167234
    167509,     72044,     72041,    167265,    167234
    167499,     72026,     72031,    167255,    167234
    167522,     72059,     72054,    167278,    167234
    167517,     72048,     72049,    167272,    167234
    167542,     72071,     72074,    167297,    167234
    167534,     72070,     72066,    167290,    167234
    167511,     72045,     72043,    167267,    167234
    167466,     71993,     72010,    167221,    167246
    167488,     72023,     72020,    167244,    167234
    167512,     72048,     72044,    167268,    167234
    167554,     72094,     72086,    167310,    167234
    167490,     72026,     72022,    167246,    167234
    167493,     72030,     72025,    167248,    167234
    167503,     72043,     72035,    167259,    167234
    167485,     72016,     72017,    167241,    167234
    167512,     72051,     72044,    167268,    167234
    167535,     72072,     72067,    167291,    167234
    167527,     72061,     72059,    167283,    167234
    167513,     72047,     72045,    167269,    167234
    167492,     72026,     72024,    167248,    167234
    167454,     71991,     72010,    167210,    167258
    167493,     72021,     72025,    167249,    167234
    167541,     72068,     72073,    167297,    167234
    167521,     72048,     72053,    167276,    167234
    167475,     72013,     72010,    167231,    167237
    167581,     72106,     72113,    167337,    167234
    167507,     72048,     72039,    167263,    167234
    167493,     72030,     72025,    167249,    167234
    167498,     72039,     72030,    167253,    167234
    167520,     72052,     72052,    167276,    167234
    167507,     72037,     72039,    167263,    167234
    167544,     72079,     72076,    167299,    167234
    167512,     72052,     72044,    167268,    167234
    167515,     72046,     72047,    167271,    167234
    167526,     72065,     72058,    167282,    167234
    167499,     72039,     72031,    167254,    167234
    167512,     72047,     72044,    167267,    167234
    167557,     72082,     72089,    167313,    167234
    167498,     72035,     72030,    167254,    167234
    167493,     72025,     72025,    167248,    167234
    167546,     72078,     72078,    167302,    167234
    167492,     72025,     72024,    167248,    167234
    167494,     72025,     72026,    167249,    167234
    167490,     72023,     72022,    167246,    167234
    167496,     72032,     72028,    167252,    167234
    167484,     72013,     72016,    167239,    167234
    167528,     72062,     72060,    167284,    167234
    167497,     72028,     72029,    167252,    167234
    167530,     72056,     72062,    167285,    167234
    167545,     72072,     72077,    167300,    167234
    167514,     72041,     72046,    167270,    167234
    167470,     72008,     72010,    167225,    167242
    167499,     72035,     72031,    167255,    167234
    167483,     72013,     72015,    167239,    167234
    167524,     72050,     72056,    167280,    167234
    167541,     72072,     72073,    167297,    167234
    167499,     72035,     72031,    167255,    167234
    167497,     72030,     72029,    167252,    167234
    167493,     72033,     72025,    167248,    167234
    167501,     72036,     72033,    167257,    167234
    167501,     72033,     72033,    167256,    167234
    167480,     72007,     72012,    167235,    167234
    167505,     72041,     72037,    167261,    167234
    167469,     72004,     72010,    167224,    167243
    167490,     72020,     72022,    167246,    167234
    167483,     72015,     72015,    167239,    167234
    167505,     72039,     72037,    167261,    167234
    167474,     72004,     72010,    167229,    167238
    167456,     71992,     72010,    167211,    167256
    167525,     72062,     72057,    167281,    167234
    167517,     72052,     72049,    167273,    167234
    167490,     72024,     72022,    167246,    167234
    167494,     72031,     72026,    167250,    167234
    167495,     72030,     72027,    167250,    167234
    167477,     72009,     72010,    167233,    167235
    167504,     72029,     72036,    167260,    167234
    167517,     72050,     72049,    167273,    167234
    167506,     72034,     72038,    167262,    167234
    167530,     72055,     72062,    167286,    167234
    167482,     72017,     72014,    167237,    167234
    167500,     72034,     72032,    167256,    167234
    167485,     72021,     72017,    167240,    167234
    167498,     72030,     72030,    167253,    167234
    167506,     72033,     72038,    167262,    167234
    167514,     72045,     72046,    167270,    167234
    167499,     72030,     72031,    167254,    167234
    167506,     72034,     72038,    167262,    167234
    167521,     72055,     72053,    167277,    167234
    167485,     72012,     72017,    167241,    167234
    167498,     72031,     72030,    167253,    167234
    167510,     72037,     72042,    167266,    167234
    167542,     72070,     72074,    167298,    167234
    167524,     72058,     72056,    167280,    167234
    167505,     72039,     72037,    167261,    167234
    167540,     72065,     72072,    167295,    167234
    167488,     72020,     72020,    167244,    167234
    167494,     72028,     72026,    167249,    167234
    167471,     72010,     72010,    167226,    167241
    167481,     72019,     72013,    167236,    167234
    167517,     72053,     72049,    167273,    167234
    167499,     72028,     72031,    167255,    167234
    167473,     72010,     72010,    167229,    167239
    167538,     72075,     72070,    167294,    167234
    167497,     72031,     72029,    167253,    167234
    167492,     72018,     72024,    167248,    167234
    167507,     72040,     72039,    167262,    167234
    167518,     72042,     72050,    167274,    167234
    167519,     72049,     72051,    167275,    167234
    167506,     72040,     72038,    167261,    167234
    167494,     72029,     72026,    167249,    167234
    167516,     72048,     72048,    167271,    167234
    167491,     72021,     72023,    167247,    167234
    167484,     72017,     72016,    167239,    167234
    167477,     72009,     72010,    167233,    167235
    167507,     72048,     72039,    167262,    167234
    167510,     72048,     72042,    167265,    167234
    167482,     72016,     72014,    167238,    167234
    167517,     72047,     72049,    167273,    167234
    167453,     71992,     72010,    167209,    167259
    167532,     72065,     72064,    167287,    167234
    167506,     72041,     72038,    167261,    167234
    167503,     72032,     72035,    167258,    167234
    167508,     72040,     72040,    167264,    167234
    167489,     72019,     72021,    167244,    167234
    167544,     72077,     72076,    167300,    167234
    167526,     72054,     72058,    167281,    167234
    167517,     72047,     72049,    167272,    167234
    167476,     72016,     72010,    167231,    167236
    167478,     72015,     72011,    167233,    167233
    167487,     72021,     72019,    167242,    167234
    167535,     72070,     72067,    167290,    167234
    167465,     72000,     72010,    167220,    167247
    167499,     72037,     72031,    167255,    167234
    167486,     72018,     72018,    167242,    167234
    167500,     72032,     72032,    167256,    167234
    167483,     72023,     72015,    167239,    167234
    167466,     72003,     72010,    167222,    167246
    167513,     72047,     72045,    167268,    167234
    167492,     72032,     72024,    167247,    167234
    167516,     72053,     72048,    167271,    167234
    167541,     72074,     72073,    167296,    167234
    167501,     72031,     72033,    167257,    167234
    167520,     72056,     72052,    167276,    167234
    167516,     72051,     72048,    167272,    167234
    167495,     72032,     72027,    167251,    167234
    167510,     72048,     72042,    167265,    167234
    167516,     72044,     72048,    167272,    167234
    167526,     72052,     72058,    167281,    167234
    167503,     72036,     72035,    167258,    167234
    167448,     71987,     72010,    167204,    167264
    167455,     71989,     72010,    167211,    167257
    167510,     72050,     72042,    167266,    167234
    167503,     72042,     72035,    167259,    167234
    167488,     72016,     72020,    167244,    167234
    167468,     72004,     72010,    167224,    167244
