# avg10RB: 0.870722      avg10RE: 1.000000     pct5: 476.000000		
# bytecnt, realBegin, caluAddAvgBegin, caluPct5Begin, realEnd, caluAddAvgEnd, caluPct5End
    167502,     72039,     71987,     72463,    167258,    167208,    166732
    167464,     71994,     71976,     72453,    167219,    167196,    166720
    167489,     72024,     72031,     72508,    167244,    167259,    166783
    167483,     72017,     72004,     72481,    167239,    167228,    166752
    167465,     72000,     71994,     72470,    167220,    167216,    166740
    167473,     72011,     72016,     72493,    167228,    167242,    166766
    167466,     72006,     72003,     72480,    167222,    167227,    166751
    167504,     72033,     72043,     72519,    167260,    167272,    166796
    167497,     72035,     72003,     72480,    167253,    167227,    166751
    167517,     72050,     72027,     72503,    167273,    167254,    166778
    167519,     72052,     72011,     72488,    167274,    167236,    166760
    167532,     72064,     72021,     72497,    167287,    167247,    166771
    167495,     72029,     71977,     72454,    167250,    167197,    166721
    167515,     72047,     72027,     72503,    167270,    167254,    166778
    167516,     72049,     72010,     72487,    167272,    167235,    166759
    167475,     72001,     71974,     72450,    167231,    167193,    166717
    167494,     72024,     72026,     72503,    167250,    167253,    166777
    167502,     72029,     72016,     72493,    167258,    167242,    166766
    167461,     71998,     71974,     72450,    167217,    167193,    166717
    167505,     72037,     72048,     72524,    167261,    167278,    166802
    167493,     72025,     71999,     72476,    167249,    167222,    166746
    167536,     72064,     72047,     72523,    167292,    167277,    166801
    167522,     72051,     71997,     72474,    167277,    167220,    166744
    167464,     71998,     71959,     72435,    167220,    167176,    166700
    167503,     72038,     72043,     72520,    167258,    167273,    166797
    167489,     72027,     71997,     72474,    167245,    167220,    166744
    167464,     71999,     71988,     72464,    167220,    167209,    166733
    167510,     72036,     72050,     72526,    167266,    167280,    166804
    167516,     72047,     72015,     72491,    167271,    167240,    166764
    167545,     72078,     72035,     72511,    167301,    167263,    166787
    167501,     72036,     71971,     72448,    167256,    167190,    166714
    167516,     72048,     72023,     72499,    167271,    167249,    166773
    167539,     72073,     72030,     72506,    167295,    167257,    166781
    167516,     72049,     71989,     72466,    167272,    167211,    166735
    167515,     72047,     72009,     72485,    167270,    167233,    166757
    167531,     72068,     72023,     72500,    167287,    167250,    166774
    167536,     72072,     72014,     72490,    167291,    167239,    166763
    167493,     72030,     71972,     72449,    167248,    167191,    166715
    167505,     72039,     72020,     72496,    167260,    167246,    166770
    167495,     72027,     72001,     72477,    167251,    167224,    166748
    167509,     72044,     72022,     72498,    167265,    167248,    166772
    167499,     72026,     72001,     72477,    167255,    167224,    166748
    167522,     72059,     72030,     72506,    167278,    167257,    166781
    167517,     72048,     72005,     72482,    167272,    167229,    166753
    167542,     72071,     72031,     72508,    167297,    167259,    166783
    167534,     72070,     72003,     72479,    167290,    167226,    166750
    167511,     72045,     71989,     72466,    167267,    167211,    166735
    167466,     71993,     71970,     72447,    167221,    167189,    166713
    167488,     72023,     72029,     72505,    167244,    167256,    166780
    167512,     72048,     72030,     72507,    167268,    167258,    166782
    167554,     72094,     72046,     72523,    167310,    167276,    166800
    167490,     72026,     71954,     72430,    167246,    167170,    166694
    167493,     72030,     72012,     72489,    167248,    167237,    166761
    167503,     72043,     72018,     72495,    167259,    167244,    166768
    167485,     72016,     71994,     72470,    167241,    167216,    166740
    167512,     72051,     72033,     72510,    167268,    167261,    166785
    167535,     72072,     72030,     72506,    167291,    167257,    166781
    167527,     72061,     72003,     72479,    167283,    167226,    166750
    167513,     72047,     71997,     72474,    167269,    167220,    166744
    167492,     72026,     71991,     72468,    167248,    167213,    166737
    167454,     71991,     71976,     72453,    167210,    167196,    166720
    167493,     72021,     72043,     72520,    167249,    167273,    166797
    167541,     72068,     72051,     72528,    167297,    167282,    166806
    167521,     72048,     71992,     72469,    167276,    167214,    166738
    167475,     72013,     71969,     72446,    167231,    167188,    166712
    167581,     72106,     72102,     72578,    167337,    167340,    166864
    167507,     72048,     71945,     72422,    167263,    167160,    166684
    167493,     72030,     71997,     72474,    167249,    167220,    166744
    167498,     72039,     72014,     72490,    167253,    167239,    166763
    167520,     72052,     72029,     72505,    167276,    167256,    166780
    167507,     72037,     71998,     72475,    167263,    167221,    166745
    167544,     72079,     72042,     72518,    167299,    167271,    166795
    167512,     72052,     71982,     72458,    167268,    167202,    166726
    167515,     72046,     72012,     72489,    167271,    167237,    166761
    167526,     72065,     72019,     72496,    167282,    167245,    166769
    167499,     72039,     71986,     72462,    167254,    167207,    166731
    167512,     72047,     72021,     72497,    167267,    167247,    166771
    167557,     72082,     72049,     72525,    167313,    167279,    166803
    167498,     72035,     71958,     72435,    167254,    167175,    166699
    167493,     72025,     72005,     72482,    167248,    167229,    166753
